时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/18 20:00,0.0318,0.0338,0.0335,12,5,6,0.500025,37,33,15214,214922
2018/3/18 21:00,0.0344,0.0629,0.0579,12,4.5,6,0.544675,72,72,15325,473964
2018/3/18 22:00,0.0494,0.0981,0.0895,11,4,5,0.658725,8,5,31627,1143191
2018/3/18 23:00,0.0256,0.0657,0.0586,9,3,4,0.406325,14,11,28362,1164061
2018/3/19 0:00,0.0356,0.0309,0.0318,8,2.25,4,0.3718,9,8,55127,421773
2018/3/19 1:00,0.0097,0.0264,0.0235,6,1.75,3,0.18715,21,14,8600,438299
2018/3/19 2:00,0.0045,0.0063,0.006,6,1.25,3,0.097925,11,4,1080,4419
2018/3/19 3:00,0.0049,0.0068,0.0065,5,1,3,0.098075,5,2,1051,4276
2018/3/19 4:00,0.0059,0.0058,0.0059,6,1.5,3,0.11545,1,1,1613,4259
2018/3/19 5:00,0.006,0.0062,0.0062,5,1.25,3,0.112925,0,0,1812,6169
2018/3/19 6:00,0.0046,0.0065,0.0062,7,1.25,3,0.096875,2,2,1341,4358
2018/3/19 7:00,0.0167,0.0264,0.0247,9,3.25,5,0.3162,36,35,7488,65788
2018/3/19 8:00,0.0251,0.0127,0.0149,9,2.75,6,0.583375,65,65,16261,45035
2018/3/19 9:00,0.0598,0.0445,0.0472,8,3.5,5,0.67925,53,51,31572,192121
2018/3/19 10:00,0.0268,0.0318,0.0309,7,2.25,4,0.403375,42,37,13451,363348
2018/3/19 11:00,0.047,0.0326,0.0351,9,3.25,5,0.4512,22,16,26362,455572
2018/3/19 12:00,0.0309,0.0398,0.0383,11,4.25,5,0.5469,46,43,13334,416565
2018/3/19 13:00,0.0261,0.0338,0.0325,8,3,4,0.4139,30,28,14913,426499
2018/3/19 14:00,0.0172,0.0338,0.0308,6,2.5,4,0.327625,13,11,5799,228567
2018/3/19 15:00,0.0148,0.0162,0.016,6,2.25,3,0.2704,20,18,5048,167936
2018/3/19 16:00,0.0497,0.0357,0.0382,8,3.5,5,0.70335,8,7,19489,126906
2018/3/19 17:00,0.0186,0.0175,0.0177,9,3.25,4,0.5081,6,4,6563,180091
2018/3/19 18:00,0.0221,0.0267,0.0259,12,4,6,0.4719,8,7,8904,289855
2018/3/19 19:00,0.0321,0.0718,0.0648,9,4.25,5,0.595375,52,50,25861,1327719
2018/3/19 20:00,0.0811,0.1188,0.1122,13,6,7,1.20705,99,96,48540,1771384
2018/3/19 21:00,0.0964,0.0513,0.0592,12,4.5,7,1.481325,42,41,43305,154993
2018/3/19 22:00,0.0316,0.0198,0.0219,8,3,5,0.6196,25,22,10473,80248
2018/3/19 23:00,0.0065,0.0085,0.0082,5,1,3,0.1032,9,9,1331,42208
2018/3/20 0:00,0.0031,0.0054,0.005,5,1,2,0.063025,38,32,359,355
2018/3/20 1:00,0.0043,0.0066,0.0062,4,1,2,0.077225,11,2,602,9789
2018/3/20 2:00,0.0116,0.0167,0.0158,6,1.5,3,0.1865,9,9,2258,29207
2018/3/20 3:00,0.0084,0.0094,0.0092,4,1.5,3,0.1363,10,5,1712,27917
2018/3/20 4:00,0.0125,0.0094,0.0099,6,1.25,3,0.147,16,16,3835,7337
